T (sec)	Sa
1.550	0.145161
1.555	0.144695
1.560	0.144231
1.565	0.143770
1.570	0.143312
1.575	0.142857
1.580	0.142405
1.585	0.141956
1.590	0.141509
1.595	0.141066
1.600	0.140625
1.605	0.140187
1.610	0.139752
1.615	0.139319
1.620	0.138889
1.625	0.138462
1.630	0.138037
1.635	0.137615
1.640	0.137195
1.645	0.136778
1.650	0.136364
1.655	0.135952
1.660	0.135542
1.665	0.135135
1.670	0.134731
1.675	0.134328
1.680	0.133929
1.685	0.133531
1.690	0.133136
1.695	0.132743
1.700	0.132353
1.705	0.131965
1.710	0.131579
1.715	0.131195
1.720	0.130814
1.725	0.130435
1.730	0.130058
1.735	0.129683
1.740	0.129310
1.745	0.128940
1.750	0.128571
1.755	0.128205
1.760	0.127841
1.765	0.127479
1.770	0.127119
1.775	0.126761
1.780	0.126404
1.785	0.126050
1.790	0.125698
1.795	0.125348
1.800	0.125000
1.805	0.124654
1.810	0.124309
1.815	0.123967
1.820	0.123626
1.825	0.123288
1.830	0.122951
1.835	0.122616
1.840	0.122283
1.845	0.121951
1.850	0.121622
1.855	0.121294
1.860	0.120968
1.865	0.120643
1.870	0.120321
1.875	0.120000
1.880	0.119681
1.885	0.119363
1.890	0.119048
1.895	0.118734
1.900	0.118421
1.905	0.118110
1.910	0.117801
1.915	0.117493
1.920	0.117188
1.925	0.116883
1.930	0.116580
1.935	0.116279
1.940	0.115979
1.945	0.115681
1.950	0.115385
1.955	0.115090
1.960	0.114796
1.965	0.114504
1.970	0.114213
1.975	0.113924
1.980	0.113636
1.985	0.113350
1.990	0.113065
1.995	0.112782
2.000	0.112500
2.005	0.111940
2.010	0.111383
2.015	0.110831
2.020	0.110283
2.025	0.109739
2.030	0.109199
2.035	0.108663
2.040	0.108131
2.045	0.107603
2.050	0.107079
2.055	0.106559
2.060	0.106042
2.065	0.105529
2.070	0.105020
2.075	0.104514
2.080	0.104013
2.085	0.103514
2.090	0.103020
2.095	0.102528
2.100	0.102041
2.105	0.101557
2.110	0.101076
2.115	0.100599
2.120	0.100125
2.125	0.099654
2.130	0.099187
2.135	0.098723
2.140	0.098262
2.145	0.097804
2.150	0.097350
2.155	0.096899
2.160	0.096451
2.165	0.096006
2.170	0.095564
2.175	0.095125
2.180	0.094689
2.185	0.094256
2.190	0.093826
2.195	0.093399
2.200	0.092975
2.205	0.092554
2.210	0.092136
2.215	0.091720
2.220	0.091308
2.225	0.090898
2.230	0.090490
2.235	0.090086
2.240	0.089684
2.245	0.089285
2.250	0.088889
2.255	0.088495
2.260	0.088104
2.265	0.087715
2.270	0.087329
2.275	0.086946
2.280	0.086565
2.285	0.086187
2.290	0.085811
2.295	0.085437
2.300	0.085066
2.305	0.084698
2.310	0.084331
2.315	0.083967
2.320	0.083606
2.325	0.083247
2.330	0.082890
2.335	0.082535
2.340	0.082183
2.345	0.081833
2.350	0.081485
2.355	0.081139
2.360	0.080796
2.365	0.080454
2.370	0.080115
2.375	0.079778
2.380	0.079444
2.385	0.079111
2.390	0.078780
2.395	0.078452
2.400	0.078125
2.405	0.077800
2.410	0.077478
2.415	0.077158
2.420	0.076839
2.425	0.076522
2.430	0.076208
2.435	0.075895
2.440	0.075585
2.445	0.075276
2.450	0.074969
2.455	0.074664
2.460	0.074360
2.465	0.074059
2.470	0.073760
2.475	0.073462
2.480	0.073166
2.485	0.072872
2.490	0.072579
2.495	0.072289
2.500	0.072000
2.505	0.071713
2.510	0.071427
2.515	0.071144
2.520	0.070862
2.525	0.070581
2.530	0.070303
2.535	0.070026
2.540	0.069750
2.545	0.069476
2.550	0.069204
2.555	0.068934
2.560	0.068665
2.565	0.068397
2.570	0.068131
2.575	0.067867
2.580	0.067604
2.585	0.067343
2.590	0.067083
2.595	0.066825
2.600	0.066568
2.605	0.066313
2.610	0.066059
2.615	0.065807
2.620	0.065556
2.625	0.065306
2.630	0.065058
2.635	0.064811
2.640	0.064566
2.645	0.064322
2.650	0.064080
2.655	0.063839
2.660	0.063599
2.665	0.063360
2.670	0.063123
2.675	0.062888
2.680	0.062653
2.685	0.062420
2.690	0.062188
2.695	0.061958
2.700	0.061728
2.705	0.061500
2.710	0.061274
2.715	0.061048
2.720	0.060824
2.725	0.060601
2.730	0.060379
2.735	0.060159
2.740	0.059939
2.745	0.059721
2.750	0.059504
2.755	0.059288
2.760	0.059074
2.765	0.058860
2.770	0.058648
2.775	0.058437
2.780	0.058227
2.785	0.058018
2.790	0.057810
2.795	0.057604
2.800	0.057398
2.805	0.057194
2.810	0.056990
2.815	0.056788
2.820	0.056587
2.825	0.056387
2.830	0.056187
2.835	0.055989
2.840	0.055793
2.845	0.055597
2.850	0.055402
2.855	0.055208
2.860	0.055015
2.865	0.054823
2.870	0.054632
2.875	0.054442
2.880	0.054253
2.885	0.054066
2.890	0.053879
2.895	0.053693
2.900	0.053508
2.905	0.053324
2.910	0.053141
2.915	0.052958
2.920	0.052777
2.925	0.052597
2.930	0.052418
2.935	0.052239
2.940	0.052062
2.945	0.051885
2.950	0.051709
2.955	0.051534
2.960	0.051360
2.965	0.051187
2.970	0.051015
2.975	0.050844
2.980	0.050673
2.985	0.050504
2.990	0.050335
2.995	0.050167
3.000	0.050000
3.005	0.049834
3.010	0.049668
3.015	0.049504
3.020	0.049340
3.025	0.049177
3.030	0.049015
3.035	0.048853
3.040	0.048693
3.045	0.048533
3.050	0.048374
3.055	0.048216
3.060	0.048058
3.065	0.047902
3.070	0.047746
3.075	0.047591
3.080	0.047436
3.085	0.047283
3.090	0.047130
3.095	0.046978
3.100	0.046826
3.105	0.046676
3.110	0.046526
3.115	0.046376
3.120	0.046228
3.125	0.046080
3.130	0.045933
3.135	0.045786
3.140	0.045641
3.145	0.045496
3.150	0.045351
3.155	0.045208
3.160	0.045065
3.165	0.044923
3.170	0.044781
3.175	0.044640
3.180	0.044500
3.185	0.044360
3.190	0.044221
3.195	0.044083
3.200	0.043945
3.205	0.043808
3.210	0.043672
3.215	0.043536
3.220	0.043401
3.225	0.043267
3.230	0.043133
3.235	0.043000
3.240	0.042867
3.245	0.042735
3.250	0.042604
3.255	0.042473
3.260	0.042343
3.265	0.042213
3.270	0.042084
3.275	0.041956
3.280	0.041828
3.285	0.041701
3.290	0.041574
3.295	0.041448
3.300	0.041322
3.305	0.041197
3.310	0.041073
3.315	0.040949
3.320	0.040826
3.325	0.040703
3.330	0.040581
3.335	0.040460
3.340	0.040338
3.345	0.040218
3.350	0.040098
3.355	0.039979
3.360	0.039860
3.365	0.039741
3.370	0.039623
3.375	0.039506
3.380	0.039389
3.385	0.039273
3.390	0.039157
3.395	0.039042
3.400	0.038927
3.405	0.038813
3.410	0.038699
3.415	0.038586
3.420	0.038473
3.425	0.038361
3.430	0.038249
3.435	0.038138
3.440	0.038027
3.445	0.037917
3.450	0.037807
3.455	0.037698
3.460	0.037589
3.465	0.037481
3.470	0.037373
3.475	0.037265
3.480	0.037158
3.485	0.037052
3.490	0.036946
3.495	0.036840
3.500	0.036735
3.505	0.036630
3.510	0.036526
3.515	0.036422
3.520	0.036318
3.525	0.036215
3.530	0.036113
3.535	0.036011
3.540	0.035909
3.545	0.035808
3.550	0.035707
3.555	0.035607
3.560	0.035507
3.565	0.035407
3.570	0.035308
3.575	0.035210
3.580	0.035111
3.585	0.035013
3.590	0.034916
3.595	0.034819
3.600	0.034722
3.605	0.034626
3.610	0.034530
3.615	0.034435
3.620	0.034340
3.625	0.034245
3.630	0.034151
3.635	0.034057
3.640	0.033963
3.645	0.033870
3.650	0.033777
3.655	0.033685
3.660	0.033593
3.665	0.033502
3.670	0.033410
3.675	0.033319
3.680	0.033229
3.685	0.033139
3.690	0.033049
3.695	0.032960
3.700	0.032871
3.705	0.032782
3.710	0.032694
3.715	0.032606
3.720	0.032518
3.725	0.032431
3.730	0.032344
3.735	0.032258
3.740	0.032171
3.745	0.032086
3.750	0.032000
3.755	0.031915
3.760	0.031830
3.765	0.031746
3.770	0.031661
3.775	0.031578
3.780	0.031494
3.785	0.031411
3.790	0.031328
3.795	0.031246
3.800	0.031163
3.805	0.031082
3.810	0.031000
3.815	0.030919
3.820	0.030838
3.825	0.030757
3.830	0.030677
3.835	0.030597
3.840	0.030518
3.845	0.030438
3.850	0.030359
3.855	0.030281
3.860	0.030202
3.865	0.030124
3.870	0.030046
3.875	0.029969
3.880	0.029892
3.885	0.029815
3.890	0.029738
3.895	0.029662
3.900	0.029586
3.905	0.029510
3.910	0.029435
3.915	0.029360
3.920	0.029285
3.925	0.029210
3.930	0.029136
3.935	0.029062
3.940	0.028988
3.945	0.028915
3.950	0.028842
3.955	0.028769
3.960	0.028696
3.965	0.028624
3.970	0.028552
3.975	0.028480
3.980	0.028408
3.985	0.028337
3.990	0.028266
3.995	0.028195
4.000	0.028125
