Node	Mode	UX	UY	UZ	RX	RY	RZ
10005	4	-1.584569e-08	8.692349e-08	8.906336e-06	1.030158e-01	1.030106e-01	3.235997e-08
10005	5	2.745892e-07	2.886847e-07	4.872892e-01	2.708900e-01	-2.708904e-01	4.940505e-09
10006	1	1.182318e-07	8.474425e-08	-2.248565e-01	-1.358527e-01	1.257040e-01	-1.934750e-08
10006	2	4.856147e-06	-1.731713e-08	-7.737427e-03	-1.982329e-01	-5.960672e-03	-3.884722e-08
10006	3	-5.944416e-08	-6.959478e-06	-8.121236e-01	1.039615e-01	4.472166e-01	-1.496005e-07
10006	4	5.349540e-07	8.752554e-08	-7.746042e-01	3.645657e-01	4.338971e-01	4.296674e-07
10006	5	3.849282e-07	2.868668e-07	-7.412144e-01	4.438112e-01	3.919185e-01	-5.778806e-08
10008	1	7.910781e-08	7.187740e-08	-2.248476e-01	-1.257033e-01	1.358562e-01	6.153347e-08
10008	2	5.014438e-06	4.295391e-08	-8.121233e-01	-4.472164e-01	-1.039615e-01	-1.078539e-07
10008	3	2.410277e-08	-6.739976e-06	-7.735766e-03	5.959672e-03	1.982337e-01	-5.380673e-08
10008	4	-1.895128e-08	-4.568715e-07	7.745891e-01	4.339015e-01	3.645514e-01	4.619721e-07
10008	5	2.742507e-07	2.365913e-07	-7.412329e-01	-3.919422e-01	-4.438221e-01	1.886492e-07
10009	1	-8.427920e-08	-8.933181e-08	-5.390235e-01	5.221638e-02	-5.221820e-02	1.490186e-09
10009	2	4.966213e-06	-3.945472e-08	3.223490e-01	1.656657e-05	-1.892278e-01	-1.069467e-09
10009	3	5.481071e-08	-6.892512e-06	3.223491e-01	1.892278e-01	-1.634851e-05	-1.511247e-09
10009	4	1.584569e-08	-8.692349e-08	8.906336e-06	-1.030158e-01	-1.030106e-01	3.235997e-08
10009	5	-2.745892e-07	-2.886847e-07	4.872892e-01	-2.708900e-01	2.708904e-01	4.940505e-09
10010	1	-7.910781e-08	-7.187740e-08	-2.248476e-01	1.257033e-01	-1.358562e-01	6.153347e-08
10010	2	5.014438e-06	4.295391e-08	8.121233e-01	-4.472164e-01	-1.039615e-01	1.078539e-07
10010	3	2.410277e-08	-6.739976e-06	7.735766e-03	5.959672e-03	1.982337e-01	5.380673e-08
10010	4	1.895128e-08	4.568715e-07	7.745891e-01	-4.339015e-01	-3.645514e-01	4.619721e-07
10010	5	-2.742507e-07	-2.365913e-07	-7.412329e-01	3.919422e-01	4.438221e-01	1.886492e-07
10011	1	8.427920e-08	-8.933181e-08	-5.390235e-01	5.221638e-02	5.221820e-02	-1.490186e-09
10011	2	4.966213e-06	3.945487e-08	-3.223491e-01	-1.657061e-05	-1.892278e-01	-1.069467e-09
10011	3	-5.481061e-08	-6.892512e-06	3.223491e-01	1.892278e-01	1.634448e-05	1.511247e-09
10011	4	-1.584569e-08	-8.692349e-08	8.906336e-06	-1.030158e-01	1.030106e-01	-3.235997e-08
10011	5	2.745892e-07	-2.886847e-07	4.872892e-01	-2.708900e-01	-2.708904e-01	-4.940505e-09
10012	1	7.910781e-08	-7.187740e-08	-2.248476e-01	1.257033e-01	1.358562e-01	-6.153347e-08
10012	2	5.014438e-06	-4.295376e-08	-8.121233e-01	4.472164e-01	-1.039615e-01	1.078539e-07
10012	3	-2.410266e-08	-6.739976e-06	7.735749e-03	5.959682e-03	-1.982337e-01	-5.380673e-08
10012	4	-1.895128e-08	4.568715e-07	7.745891e-01	-4.339015e-01	3.645514e-01	-4.619721e-07
10012	5	2.742507e-07	-2.365913e-07	-7.412329e-01	3.919422e-01	-4.438221e-01	-1.886492e-07
10013	1	-1.182318e-07	-8.474425e-08	-2.248565e-01	1.358527e-01	-1.257040e-01	-1.934750e-08
10013	2	4.856147e-06	-1.731713e-08	7.737427e-03	-1.982329e-01	-5.960672e-03	3.884722e-08
10013	3	-5.944417e-08	-6.959478e-06	8.121236e-01	1.039615e-01	4.472166e-01	1.496005e-07
10013	4	-5.349540e-07	-8.752554e-08	-7.746042e-01	-3.645657e-01	-4.338971e-01	4.296674e-07
10013	5	-3.849282e-07	-2.868668e-07	-7.412144e-01	-4.438112e-01	-3.919185e-01	-5.778806e-08
10015	1	1.182318e-07	-8.474425e-08	-2.248565e-01	1.358527e-01	1.257040e-01	1.934750e-08
10015	2	4.856147e-06	1.731728e-08	-7.737444e-03	1.982329e-01	-5.960663e-03	3.884722e-08
10015	3	5.944427e-08	-6.959478e-06	8.121236e-01	1.039615e-01	-4.472166e-01	-1.496005e-07
10015	4	5.349540e-07	-8.752554e-08	-7.746042e-01	-3.645657e-01	4.338971e-01	-4.296674e-07
10015	5	3.849282e-07	-2.868668e-07	-7.412144e-01	-4.438112e-01	3.919185e-01	5.778806e-08
